xentraldesk-worker  | INFO:app.services.ingestion_service:Document d6bff3b2-be38-4ec9-8154-34818266c7c7: Chunk deletion complete
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d6bff3b2-be38-4ec9-8154-34818266c7c7: Starting text chunking (TIKTOKEN_AVAILABLE=True)
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d6bff3b2-be38-4ec9-8154-34818266c7c7: 2 chunks created (token-based)
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d6bff3b2-be38-4ec9-8154-34818266c7c7: Status set to 'vectorizing'
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d6bff3b2-be38-4ec9-8154-34818266c7c7: Starting embeddings (batch of 2 chunks)
xentraldesk-worker  | INFO:app.embeddings.gemini:Embedding cache initialized (Redis)
xentraldesk-worker  | INFO:app.embeddings.gemini:Batch embedding: 0 cached, 2 new
xentraldesk-worker  | INFO:google_genai._api_client:Retrying due to aiohttp error: Cannot connect to host generativelanguage.googleapis.com:443 ssl:<ssl.SSLContext object at 0x7bcef3911e50> [Temporary failure in name resolution]
xentraldesk-worker  | ERROR:app.embeddings.gemini:Gemini Embedding API error (attempt): Cannot connect to host generativelanguage.googleapis.com:443 ssl:<ssl.SSLContext object at 0x7bcef8f13b50> [Name or service not known]
xentraldesk-worker  | INFO:google_genai._api_client:Retrying due to aiohttp error: Cannot connect to host generativelanguage.googleapis.com:443 ssl:<ssl.SSLContext object at 0x7bcef8f13b50> [Name or service not known]
xentraldesk-worker  | ERROR:app.embeddings.gemini:Gemini Embedding API error (attempt): Cannot connect to host generativelanguage.googleapis.com:443 ssl:<ssl.SSLContext object at 0x7bcef3c737d0> [Name or service not known]
xentraldesk-worker  | INFO:google_genai._api_client:Retrying due to aiohttp error: Cannot connect to host generativelanguage.googleapis.com:443 ssl:<ssl.SSLContext object at 0x7bcef3c737d0> [Name or service not known]
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d6bff3b2-be38-4ec9-8154-34818266c7c7: Got 2 vectors back
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d6bff3b2-be38-4ec9-8154-34818266c7c7: Committed 2 chunks to database
xentraldesk-worker  | INFO:app.services.ingestion_service:Γ£ô Source 39fa341b-e0c5-48f1-b242-e130111c87e7: All documents ready. Status set to idle.
xentraldesk-worker  | INFO:app.services.ingestion_service:Document d6bff3b2-be38-4ec9-8154-34818266c7c7: ingestion complete (ready)
